Score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1419,WAS,NYG,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,TEN,NYJ,BLT,PIT,KC,PHI,NO
1419,WAS,NYG,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,TEN,NYJ,BLT,PIT,KC,PHI,NO
1417,WAS,NYG,BLT,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,DAL,PIT,NYJ,TEN,KC,PHI,NO
1417,WAS,BUF,CIN,SF,PHI,JAX,SEA,BLT,CLV,NE,MIA,DAL,PIT,NYJ,LAC,KC,NYG,NO
1416,WAS,BUF,DAL,SF,CIN,JAX,SEA,LAC,CLV,NE,MIA,TEN,NYJ,BLT,PIT,KC,PHI,NO
1414,WAS,BUF,DAL,SF,CIN,JAX,SEA,LAC,CLV,NE,MIA,KC,PIT,BLT,TEN,NYJ,PHI,NO
1414,WAS,BUF,CIN,LAC,PHI,JAX,SEA,BLT,CLV,NE,MIA,DAL,NYJ,NO,PIT,KC,NYG,SF
1414,WAS,NYG,DAL,SF,CIN,JAX,SEA,BUF,NE,LAC,MIA,KC,PIT,BLT,CLV,NYJ,PHI,NO
1414,WAS,BUF,CIN,SF,PHI,JAX,SEA,BLT,CLV,LAC,MIA,DAL,PIT,NYJ,TEN,KC,NYG,NO
1414,WAS,BUF,DAL,LAC,CIN,JAX,SEA,BLT,CLV,NE,MIA,NO,PIT,NYJ,TEN,KC,PHI,SF
1414,WAS,BUF,DAL,SF,CIN,JAX,SEA,LAC,CLV,NE,MIA,KC,PIT,BLT,TEN,NYJ,PHI,NO
1414,WAS,NYG,DAL,SF,CIN,JAX,SEA,BUF,NE,LAC,MIA,KC,PIT,BLT,CLV,NYJ,PHI,NO
1413,WAS,BUF,DAL,SF,PHI,JAX,SEA,LAC,CLV,CIN,MIA,TEN,NYJ,BLT,PIT,KC,NYG,NO
1413,WAS,BUF,DAL,SF,PHI,JAX,SEA,BLT,CLV,CIN,MIA,TEN,PIT,NYJ,LAC,KC,NYG,NO
1412,WAS,NYG,BLT,LAC,CIN,JAX,SEA,BUF,CLV,PIT,MIA,DAL,NYJ,NO,TEN,KC,PHI,SF
1412,WAS,NYG,DAL,SF,DET,JAX,SEA,BUF,CLV,CIN,MIA,KC,PIT,BLT,LAC,NYJ,PHI,NO
1412,WAS,NYG,DAL,SF,DET,JAX,SEA,BUF,CLV,CIN,MIA,KC,PIT,BLT,LAC,NYJ,PHI,NO
1412,WAS,NYG,BLT,SF,DET,JAX,SEA,BUF,CLV,CIN,MIA,DAL,PIT,NYJ,LAC,KC,PHI,NO
1412,WAS,NYG,CIN,LAC,PHI,JAX,SEA,BUF,CLV,NE,MIA,DAL,NYJ,BLT,PIT,KC,NO,SF
1412,WAS,NYG,BLT,SF,DET,JAX,SEA,BUF,CLV,CIN,MIA,DAL,PIT,NYJ,LAC,KC,PHI,NO
1412,WAS,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NE,SF,DAL,NYJ,BLT,PIT,KC,JAX,NO
1412,WAS,NYG,DAL,LAC,CIN,JAX,SEA,BUF,NE,PIT,MIA,NO,NYJ,BLT,CLV,KC,PHI,SF
1412,WAS,BUF,DAL,SF,PHI,JAX,SEA,BLT,CLV,NE,MIA,KC,PIT,CIN,LAC,NYJ,NYG,NO
1412,WAS,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,TEN,NYJ,BLT,PIT,KC,NYG,NO
1411,WAS,DEN,DAL,PHI,CIN,JAX,SEA,BUF,CLV,LAC,MIA,NO,NYJ,BLT,PIT,KC,NYG,SF
1411,BLT,BUF,CIN,SF,PHI,JAX,SEA,LAC,CLV,NE,MIA,DAL,PIT,NYJ,TEN,KC,NYG,NO
1411,WAS,DEN,DAL,PHI,CIN,JAX,SEA,BUF,CLV,LAC,MIA,NO,NYJ,BLT,PIT,KC,NYG,SF
1411,WAS,BUF,DAL,LAC,PHI,JAX,SEA,BLT,CLV,CIN,MIA,NO,PIT,NYJ,TEN,KC,NYG,SF
1411,WAS,BUF,DAL,SF,PHI,JAX,SEA,BLT,CLV,LAC,MIA,TEN,NYJ,CIN,PIT,KC,NYG,NO
1410,WAS,NYG,JAX,LAC,CIN,MIA,SEA,BUF,CLV,NE,DET,DAL,NYJ,BLT,PIT,KC,PHI,SF
1410,WAS,NYG,DAL,SF,CIN,MIA,SEA,BUF,CLV,PIT,LAC,JAX,NYJ,BLT,TEN,KC,PHI,NO
1410,WAS,BUF,DAL,LAC,PHI,JAX,SEA,BLT,CLV,CIN,MIA,TEN,NYJ,NO,PIT,KC,NYG,SF
1410,WAS,NYG,BLT,LAC,DET,JAX,SEA,BUF,CLV,CIN,MIA,DAL,PIT,NYJ,TEN,KC,PHI,SF
