score,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
13.92328653714315,WSH,LAR,LAC,PHI,NE,GB,DEN,DAL,CIN,KC,BAL,MIA,MIN,BUF,NO,TEN,TB,IND
13.892743042339408,WSH,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,BAL,MIA,MIN,BUF,NO,TEN,SEA,IND
13.885204517166354,WSH,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,TEN,BAL,IND
13.884845599920427,TEN,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,BAL,SEA,IND
13.87553904868051,TEN,DEN,LAC,PHI,MIN,GB,OAK,DAL,CIN,KC,NE,MIA,LAR,BUF,NO,BAL,TB,IND
13.87337303133003,WSH,LAR,LAC,PHI,NE,GB,OAK,DAL,CIN,KC,BUF,MIA,MIN,TEN,NO,BAL,TB,IND
13.867759803958608,TEN,LAR,LAC,PHI,NE,GB,OAK,DEN,CIN,KC,BUF,MIA,MIN,DAL,NO,BAL,TB,IND
13.858587030961079,WSH,DEN,LAC,PHI,MIN,GB,CIN,DAL,ARI,KC,BAL,MIA,LAR,BUF,NO,TEN,TB,IND
13.855434935683709,WSH,LAR,LAC,PHI,BUF,GB,OAK,DEN,CIN,KC,BAL,MIA,MIN,DAL,NO,TEN,TB,IND
13.853627425754604,WSH,LAR,LAC,PHI,NE,GB,CIN,DEN,BUF,KC,BAL,MIA,MIN,DAL,NO,TEN,TB,IND
13.852679018016202,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,ARI,KC,BAL,MIA,MIN,BUF,NO,TEN,SEA,IND
13.845140492843148,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,ARI,KC,NE,MIA,MIN,BUF,NO,TEN,BAL,IND
13.842829536526285,WSH,LAR,LAC,PHI,TB,GB,OAK,DAL,CIN,KC,BUF,MIA,MIN,TEN,NO,BAL,SEA,IND
13.838554465359303,TEN,LAR,LAC,PHI,NE,GB,DEN,DAL,CIN,NYG,BAL,MIA,MIN,BUF,NO,KC,TB,IND
13.835263085016214,TEN,SF,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,BAL,SEA,IND
13.826347153052524,WSH,DEN,LAC,PHI,TB,GB,OAK,DAL,CIN,KC,BUF,MIA,MIN,TEN,NO,BAL,SEA,IND
13.82388808933275,WSH,DEN,LAC,PHI,MIN,GB,CIN,DAL,ARI,KC,BUF,MIA,LAR,TEN,NO,BAL,TB,IND
13.820799715903298,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,BUF,KC,NE,MIA,MIN,TEN,NO,BAL,SEA,IND
13.814391789045565,WSH,DEN,MIN,PHI,NE,GB,CIN,DAL,LAC,KC,BAL,MIA,LAR,BUF,NO,TEN,TB,IND
